Form,Lemma,Part of Speech,Case,Number,Tense,Mood,Voice,Relation,Sentence ID,Word ID,Document URN
????,????,noun,accusative,singular,,,,OBJ,359,646334,0001-001
????,?????,verb,,singular,imperfect,indicative,active,CO,359,646335,0001-001
????,????,noun,accusative,singular,,,,OBJ,2082,670163,0001-001
????,?????,verb,,singular,imperfect,indicative,active,CO,2082,670164,0001-001
????,????,noun,accusative,singular,,,,OBJ,1843,9229674,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,1843,9229675,0012-001
????,????,noun,accusative,singular,,,,OBJ,3233,9250969,0012-001
????,?????,verb,,singular,imperfect,indicative,active,PRED,3233,9250970,0012-001
????,????,noun,accusative,singular,,,,OBJ,3284,9251658,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,3284,9251659,0012-001
????,????,noun,accusative,singular,,,,OBJ,3544,9255650,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,3544,9255651,0012-001
????,????,noun,accusative,singular,,,,OBJ,3868,9260756,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,3868,9260757,0012-001
????,????,noun,accusative,singular,,,,OBJ,4346,9268254,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,4346,9268255,0012-001
????,????,noun,accusative,singular,,,,OBJ,4727,9274100,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,4727,9274101,0012-001
????,????,noun,accusative,singular,,,,OBJ,4789,9275221,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,4789,9275222,0012-001
????,????,noun,accusative,singular,,,,OBJ,4929,9277530,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,4929,9277531,0012-001
????,????,noun,accusative,singular,,,,OBJ,5641,9288354,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,5641,9288355,0012-001
????,????,noun,accusative,singular,,,,OBJ,5854,9291696,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,5854,9291697,0012-001
????,????,noun,accusative,singular,,,,OBJ,6776,9305501,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,6776,9305502,0012-001
????,????,noun,accusative,singular,,,,OBJ,6926,9307728,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,6926,9307729,0012-001
????,????,noun,accusative,singular,,,,OBJ,8151,9325612,0012-001
????,?????,verb,,singular,imperfect,indicative,active,CO,8151,9325613,0012-001
????,????,noun,accusative,singular,,,,OBJ,3473,9384859,0012-002
????,?????,verb,,singular,imperfect,indicative,active,CO,3473,9384860,0012-002
????,????,noun,accusative,singular,,,,OBJ,207,409443,0013-004
????,?????,verb,,singular,imperfect,indicative,active,PRED,207,409444,0013-004
????,????,noun,accusative,singular,,,,OBJ,60,15469871,1252-002
????,?????,verb,,singular,imperfect,indicative,active,CO,60,15469872,1252-002
